ticker,PX_LAST,PX_BID,PX_ASK,VOLUME,OPEN_INT,IVOL_MID,DELTA,GAMMA,VEGA,RHO,OPT_UNDL_PX,BID_SIZE,ASK_SIZE,expiry,fetch_time,spot_price,strike,option_type,underlying
QQQ US 10/17/25 C442 Equity,,,,,,,,,,,,,,20251017,2025-09-10 13:15:44.114376,480.0,442.0,C,QQQ
QQQ US 10/17/25 P442 Equity,,,,,,,,,,,,,,20251017,2025-09-10 13:15:44.114376,480.0,442.0,P,QQQ
QQQ US 10/17/25 C445 Equity,134.960000,136.720000,140.290000,2.000000,18,37.132560,1.000000,0.000000,0.000000,0.000000,581.928000,10,10,20251017,2025-09-10 13:15:44.114376,480.0,445.0,C,QQQ
QQQ US 10/17/25 P445 Equity,0.310000,0.310000,0.320000,14.000000,5100,37.732840,-0.011864,0.002519,0.059309,-0.000073,581.928000,226,42,20251017,2025-09-10 13:15:44.114376,480.0,445.0,P,QQQ
QQQ US 10/17/25 C448 Equity,,,,,,,,,,,,,,20251017,2025-09-10 13:15:44.114376,480.0,448.0,C,QQQ
QQQ US 10/17/25 P448 Equity,,,,,,,,,,,,,,20251017,2025-09-10 13:15:44.114376,480.0,448.0,P,QQQ
QQQ US 10/17/25 C450 Equity,126.400000,131.780000,135.340000,6.000000,42,36.513130,1.000000,0.000000,0.000000,0.000000,581.928000,10,1,20251017,2025-09-10 13:15:44.114376,480.0,450.0,C,QQQ
QQQ US 10/17/25 P450 Equity,0.350000,0.340000,0.350000,151.000000,21339,36.834250,-0.013614,0.002917,0.066514,-0.000083,581.928000,138,142,20251017,2025-09-10 13:15:44.114376,480.0,450.0,P,QQQ
QQQ US 10/17/25 C452 Equity,,,,,,,,,,,,,,20251017,2025-09-10 13:15:44.114376,480.0,452.0,C,QQQ
QQQ US 10/17/25 P452 Equity,,,,,,,,,,,,,,20251017,2025-09-10 13:15:44.114376,480.0,452.0,P,QQQ
QQQ US 10/17/25 C430 Equity,149.310000,151.580000,155.160000,2.000000,15,39.726280,1.000000,0.000000,0.000000,0.000000,581.900000,10,10,20251017,2025-09-10 13:15:44.114376,480.0,430.0,C,QQQ
QQQ US 10/17/25 P430 Equity,0.240000,0.250000,0.260000,85.000000,973,40.632510,-0.008833,0.001825,0.045802,-0.000054,581.900000,68,193,20251017,2025-09-10 13:15:44.114376,480.0,430.0,P,QQQ
QQQ US 10/17/25 C432 Equity,,,,,,,,,,,,,,20251017,2025-09-10 13:15:44.114376,480.0,432.0,C,QQQ
QQQ US 10/17/25 P432 Equity,,,,,,,,,,,,,,20251017,2025-09-10 13:15:44.114376,480.0,432.0,P,QQQ
QQQ US 10/17/25 C435 Equity,148.210000,146.630000,150.240000,14.000000,56,39.336720,0.993408,0.001560,0.035394,0.004366,581.900000,10,10,20251017,2025-09-10 13:15:44.114376,480.0,435.0,C,QQQ
QQQ US 10/17/25 P435 Equity,0.270000,0.260000,0.280000,5.000000,1054,39.662800,-0.009794,0.002043,0.050331,-0.000062,581.900000,210,414,20251017,2025-09-10 13:15:44.114376,480.0,435.0,P,QQQ
QQQ US 10/17/25 C438 Equity,,,,,,,,,,,,,,20251017,2025-09-10 13:15:44.114376,480.0,438.0,C,QQQ
QQQ US 10/17/25 P438 Equity,,,,,,,,,,,,,,20251017,2025-09-10 13:15:44.114376,480.0,438.0,P,QQQ
QQQ US 10/17/25 C440 Equity,143.100000,141.670000,145.260000,1.000000,34,38.143880,0.957759,0.005316,0.180840,0.004764,581.900000,10,15,20251017,2025-09-10 13:15:44.114376,480.0,440.0,C,QQQ
QQQ US 10/17/25 P440 Equity,0.280000,0.290000,0.300000,3.000000,5040,38.761470,-0.010921,0.002307,0.055057,-0.000067,581.900000,236,211,20251017,2025-09-10 13:15:44.114376,480.0,440.0,P,QQQ
QQQ US 10/17/25 C468 Equity,,,,,,,,,,,,,,20251017,2025-09-10 13:15:44.114376,480.0,468.0,C,QQQ
QQQ US 10/17/25 P468 Equity,,,,,,,,,,,,,,20251017,2025-09-10 13:15:44.114376,480.0,468.0,P,QQQ
QQQ US 10/17/25 C470 Equity,110.740000,112.030000,115.510000,3.000000,50,32.684870,1.000000,0.000000,0.000000,0.000000,581.928000,10,30,20251017,2025-09-10 13:15:44.114376,480.0,470.0,C,QQQ
QQQ US 10/17/25 P470 Equity,0.490000,0.500000,0.510000,37.000000,5373,33.297650,-0.020320,0.004569,0.093880,-0.000125,581.928000,385,139,20251017,2025-09-10 13:15:44.114376,480.0,470.0,P,QQQ
QQQ US 10/17/25 C472 Equity,,,,,,,,,,,,,,20251017,2025-09-10 13:15:44.114376,480.0,472.0,C,QQQ
QQQ US 10/17/25 P472 Equity,,,,,,,,,,,,,,20251017,2025-09-10 13:15:44.114376,480.0,472.0,P,QQQ
QQQ US 10/17/25 C475 Equity,99.760000,107.110000,110.600000,1.000000,30,31.873660,1.000000,0.000000,0.000000,0.000000,581.928000,10,1,20251017,2025-09-10 13:15:44.114376,480.0,475.0,C,QQQ
QQQ US 10/17/25 P475 Equity,0.580000,0.550000,0.570000,82.000000,49187,32.445970,-0.023561,0.005261,0.106157,-0.000142,581.928000,333,251,20251017,2025-09-10 13:15:44.114376,480.0,475.0,P,QQQ
QQQ US 10/17/25 C478 Equity,,,,,,,,,,,,,,20251017,2025-09-10 13:15:44.114376,480.0,478.0,C,QQQ
QQQ US 10/17/25 P478 Equity,,,,,,,,,,,,,,20251017,2025-09-10 13:15:44.114376,480.0,478.0,P,QQQ
QQQ US 10/17/25 C455 Equity,125.410000,126.830000,130.410000,1.000000,12,35.509020,1.000000,0.000000,0.000000,0.000000,581.928000,10,30,20251017,2025-09-10 13:15:44.114376,480.0,455.0,C,QQQ
QQQ US 10/17/25 P455 Equity,0.440000,0.370000,0.390000,4.000000,4101,35.895350,-0.014954,0.003244,0.072178,-0.000091,581.928000,271,264,20251017,2025-09-10 13:15:44.114376,480.0,455.0,P,QQQ
QQQ US 10/17/25 C458 Equity,,,,,,,,,,,,,,20251017,2025-09-10 13:15:44.114376,480.0,458.0,C,QQQ
QQQ US 10/17/25 P458 Equity,,,,,,,,,,,,,,20251017,2025-09-10 13:15:44.114376,480.0,458.0,P,QQQ
QQQ US 10/17/25 C460 Equity,120.460000,121.890000,125.400000,1.000000,19,34.670560,1.000000,0.000000,0.000000,0.000000,581.928000,10,1,20251017,2025-09-10 13:15:44.114376,480.0,460.0,C,QQQ
QQQ US 10/17/25 P460 Equity,0.400000,0.410000,0.420000,115.000000,14919,35.044480,-0.016496,0.003620,0.078431,-0.000100,581.928000,216,141,20251017,2025-09-10 13:15:44.114376,480.0,460.0,P,QQQ
QQQ US 10/17/25 C462 Equity,,,,,,,,,,,,,,20251017,2025-09-10 13:15:44.114376,480.0,462.0,C,QQQ
QQQ US 10/17/25 P462 Equity,,,,,,,,,,,,,,20251017,2025-09-10 13:15:44.114376,480.0,462.0,P,QQQ
QQQ US 10/17/25 C465 Equity,112.960000,116.970000,120.500000,1.000000,11,33.664250,1.000000,0.000000,0.000000,0.000000,581.928000,10,1,20251017,2025-09-10 13:15:44.114376,480.0,465.0,C,QQQ
QQQ US 10/17/25 P465 Equity,0.470000,0.450000,0.460000,16.000000,2280,34.139560,-0.018578,0.004102,0.086855,-0.000113,581.928000,329,83,20251017,2025-09-10 13:15:44.114376,480.0,465.0,P,QQQ
QQQ US 10/17/25 C492 Equity,,,,,,,,,,,,,,20251017,2025-09-10 13:15:44.114376,480.0,492.0,C,QQQ
QQQ US 10/17/25 P492 Equity,,,,,,,,,,,,,,20251017,2025-09-10 13:15:44.114376,480.0,492.0,P,QQQ
QQQ US 10/17/25 C495 Equity,86.210000,87.520000,91.080000,9.000000,32,29.026880,1.000000,0.000000,0.000000,0.000000,581.845000,10,1,20251017,2025-09-10 13:15:44.114376,480.0,495.0,C,QQQ
QQQ US 10/17/25 P495 Equity,0.860000,0.870000,0.890000,45.000000,4729,29.151870,-0.037820,0.008688,0.157117,-0.000226,581.845000,165,158,20251017,2025-09-10 13:15:44.114376,480.0,495.0,P,QQQ
QQQ US 10/17/25 C498 Equity,,,,,,,,,,,,,,20251017,2025-09-10 13:15:44.114376,480.0,498.0,C,QQQ
QQQ US 10/17/25 P498 Equity,,,,,,,,,,,,,,20251017,2025-09-10 13:15:44.114376,480.0,498.0,P,QQQ
QQQ US 10/17/25 C500 Equity,85.580000,82.650000,86.230000,31.000000,4662,28.220470,0.955116,0.009981,0.181106,0.004797,581.845000,10,10,20251017,2025-09-10 13:15:44.114376,480.0,500.0,C,QQQ
QQQ US 10/17/25 P500 Equity,0.990000,0.990000,1.000000,1990.000000,35780,28.357620,-0.043352,0.009957,0.175462,-0.000257,581.845000,47,143,20251017,2025-09-10 13:15:44.114376,480.0,500.0,P,QQQ
QQQ US 10/17/25 C502 Equity,,,,,,,,,,,,,,20251017,2025-09-10 13:15:44.114376,480.0,502.0,C,QQQ
QQQ US 10/17/25 P502 Equity,,,,,,,,,,,,,,20251017,2025-09-10 13:15:44.114376,480.0,502.0,P,QQQ
QQQ US 10/17/25 C480 Equity,102.070000,102.210000,105.680000,3.000000,39,31.091620,1.000000,0.000000,0.000000,0.000000,581.875000,10,1,20251017,2025-09-10 13:15:44.114376,480.0,480.0,C,QQQ
QQQ US 10/17/25 P480 Equity,0.610000,0.620000,0.630000,544.000000,42775,31.613070,-0.025827,0.005877,0.114823,-0.000157,581.875000,141,143,20251017,2025-09-10 13:15:44.114376,480.0,480.0,P,QQQ
QQQ US 10/17/25 C482 Equity,,,,,,,,,,,,,,20251017,2025-09-10 13:15:44.114376,480.0,482.0,C,QQQ
QQQ US 10/17/25 P482 Equity,,,,,,,,,,,,,,20251017,2025-09-10 13:15:44.114376,480.0,482.0,P,QQQ
QQQ US 10/17/25 C485 Equity,96.940000,97.300000,100.780000,2.000000,45,30.352290,1.000000,0.000000,0.000000,0.000000,581.875000,10,1,20251017,2025-09-10 13:15:44.114376,480.0,485.0,C,QQQ
QQQ US 10/17/25 P485 Equity,0.690000,0.690000,0.710000,270.000000,6984,30.761440,-0.029061,0.006587,0.126957,-0.000176,581.875000,135,230,20251017,2025-09-10 13:15:44.114376,480.0,485.0,P,QQQ
QQQ US 10/17/25 C488 Equity,,,,,,,,,,,,,,20251017,2025-09-10 13:15:44.114376,480.0,488.0,C,QQQ
QQQ US 10/17/25 P488 Equity,,,,,,,,,,,,,,20251017,2025-09-10 13:15:44.114376,480.0,488.0,P,QQQ
QQQ US 10/17/25 C490 Equity,95.270000,92.400000,95.800000,3.000000,213,29.194580,0.966692,0.007556,0.142217,0.004766,581.875000,10,35,20251017,2025-09-10 13:15:44.114376,480.0,490.0,C,QQQ
QQQ US 10/17/25 P490 Equity,0.780000,0.780000,0.790000,546.000000,9316,29.980470,-0.033591,0.007660,0.142559,-0.000200,581.875000,93,186,20251017,2025-09-10 13:15:44.114376,480.0,490.0,P,QQQ
QQQ US 10/17/25 C518 Equity,,,,,,,,,,,,,,20251017,2025-09-10 13:15:44.114376,480.0,518.0,C,QQQ
QQQ US 10/17/25 P518 Equity,,,,,,,,,,,,,,20251017,2025-09-10 13:15:44.114376,480.0,518.0,P,QQQ
QQQ US 10/17/25 C520 Equity,64.990000,64.690000,65.450000,13.000000,139,24.548430,0.928860,0.016842,0.259449,0.004831,581.850000,57,93,20251017,2025-09-10 13:15:44.114376,480.0,520.0,C,QQQ
QQQ US 10/17/25 P520 Equity,1.650000,1.650000,1.670000,1656.000000,19068,25.187140,-0.074424,0.017143,0.268341,-0.000435,581.850000,145,70,20251017,2025-09-10 13:15:44.114376,480.0,520.0,P,QQQ
QQQ US 10/17/25 C522 Equity,,,,,,,,,,,,,,20251017,2025-09-10 13:15:44.114376,480.0,522.0,C,QQQ
QQQ US 10/17/25 P522 Equity,,,,,,,,,,,,,,20251017,2025-09-10 13:15:44.114376,480.0,522.0,P,QQQ
